adaptor_index error voice rate_parameter
0 -0.5537916666666689 J 0.4980382403443291
1 0.17116666666666447 D 2.0966238224465408
3 0.3050833333333287 C 2.0910075970491997
4 0.21295833333333292 A 0.5288187957366044
6 -0.5119166666666644 I 0.46037317414398865
7 0.7542916666666599 E 2.028489269754532
9 -0.01300000000000523 D 2.095834669382314
10 -0.747083333333336 F 0.4776002591728858
12 -0.05145833333333272 A 0.49212173884323973
13 0.07525000000000048 H 1.7689787632793146
15 0.006166666666667098 E 2.065823859101842
16 -0.02183333333333337 J 0.475136712140699
18 0.00816666666666599 F 0.46110205589142017
19 0.008958333333334068 C 2.159638200165616
21 0.020250000000000767 H 1.8614580222017043
22 -0.09379166666666627 I 0.408435350349557
24 0.06479166666666636 J 0.5035891420288885
25 -0.031208333333333727 D 2.096670507365641
27 0.05087499999999956 C 2.2006950737033915
28 -0.04679166666666745 A 0.4693526758391336
30 -0.0303333333333331 I 0.4480366730028781
31 0.04812500000000064 E 2.108726087985917
33 0.024041666666667183 D 2.0944505542668237
34 -0.013083333333332448 F 0.4524016006878303
36 -0.007749999999999702 A 0.5274728799582882
37 0.029333333333333655 H 1.837105871383168
39 -0.015750000000000597 E 2.012643397962545
40 0.01791666666666636 J 0.452439329530497
42 0.0066666666666659324 F 0.49292146496103373
43 0.07750000000000057 C 2.248623454205359
45 0.01004166666666606 H 1.831411856620176
46 0.031791666666666885 I 0.4537235507135995
48 0.0065000000000008384 J 0.5305418231116206
49 0.013583333333333059 D 2.101370840502318
51 0.034416666666666984 C 2.1147451930882553
52 -0.008124999999999716 A 0.5171128062086137
54 0.0016250000000006537 I 0.4706671602114903
55 -0.0003333333333337407 E 2.0785501641442363
57 0.04258333333333297 D 2.1570996603404136
58 -0.09308333333333252 F 0.4226585645312685
60 -0.09725000000000072 A 0.4710855537220189
61 0.0321666666666669 H 1.8628791403741063
63 0.008958333333334068 E 2.0615915419558175
64 -0.018791666666666984 J 0.5062843240027202
66 -0.038583333333333414 F 0.4659816218308403
67 0.003458333333332675 C 2.112750033122181
69 -0.034541666666665805 H 1.7118354434571754
70 -0.004125000000000156 I 0.44844229145509246
