adaptor_index error voice rate_parameter
0 -0.008291666666666586 A 2.1322726442151634
1 -0.052083333333333925 H 0.4366555004145227
3 -0.029916666666666814 J 0.46877599039791257
4 0.05958333333333421 F 2.0004756762901574
6 -0.0002916666666674672 C 2.1177283079071865
7 -0.016583333333333172 D 0.4961937562370683
9 0.0011666666666663161 H 0.4206374755703045
10 0.01704166666666751 I 1.9169015940571
12 0.004125000000000156 F 1.984286598673832
13 -0.04658333333333253 E 0.5016069895419544
15 0.01962499999999956 D 0.510840363119091
16 0.003958333333333286 A 2.167707697845182
18 0.06691666666666585 I 1.861757557897043
19 -0.039541666666666586 J 0.4775619522159235
21 -0.054999999999999716 E 0.45346813430648514
22 -0.009208333333333485 C 2.1089981863246665
24 0.0007500000000000284 A 2.160131922219796
25 0.0058749999999996305 H 0.4345330380501165
27 0.0045833333333327175 J 0.5129325341987857
28 0.008250000000000313 F 1.9849925486835895
30 0.03966666666666718 C 2.1956321987412064
31 -0.025624999999999787 D 0.49705688177462354
33 -0.033500000000000085 H 0.4145987477329218
34 -0.004374999999999574 I 1.7718264153682415
36 0.0008750000000006253 F 1.9868221685993082
37 -0.05845833333333417 E 0.46442239459296397
39 -0.017708333333333215 D 0.4877893787185575
40 0.03141666666666687 A 2.1559443797925284
42 0.011791666666667311 I 1.8901602093680203
43 -0.0011666666666663161 J 0.44058405748521756
45 -0.006750000000000256 E 0.4709025543781519
46 0.005166666666665876 C 2.181026915049113
48 0.027041666666667297 A 2.2306512531448637
49 0.027749999999999275 H 0.4613992583495673
51 -0.06108333333333249 J 0.453672381667405
52 0.024250000000000327 F 2.0285372153435848
54 0.08962499999999984 C 2.1043981127136946
55 -0.025624999999999787 D 0.4990053099792305
57 -0.020791666666665876 H 0.3991849733619226
58 0.02362499999999912 I 1.8882619440761734
60 0.04112499999999386 F 1.923027931355578
61 0.10770833333333485 E 0.4921554287367024
63 -1.039749999999998 D 0.5107274342747313
64 0.017916666666664582 A 2.134289617098635
66 0.15504166666666208 I 1.8517715366534837
67 0.03983333333333405 J 0.5005133959357009
69 -0.047083333333333144 E 0.4969669731202523
70 0.22458333333332803 C 2.0896084366238994
