adaptor_index error voice rate_parameter
0 -0.0129999999999999 D 0.4895801691739511
1 0.07337500000000041 H 1.7686495570381644
3 -0.013458333333332462 I 1.806854044796791
4 -0.07662499999999994 E 0.4594167094952998
6 -0.02412499999999973 F 0.4556529815756588
7 0.021958333333333968 J 2.0888066915987626
9 0.020583333333332732 H 1.8196246955270516
10 -0.06529166666666697 A 0.47761639233996617
12 -0.009791666666666643 E 0.4738848792387755
13 0.0970416666666658 C 2.1059450105752067
15 0.029166666666666785 J 2.0637969558484626
16 -0.03508333333333269 D 0.4812781446857004
18 0.0065833333333333854 A 0.49390339643110015
19 -0.0058749999999996305 I 1.8943335601291371
21 0.015375000000000583 C 2.1485414799792895
22 0.04133333333333411 F 0.4825787279497375
24 -0.009083333333332888 D 0.47276914178529206
25 -0.013958333333333073 H 1.7086355293475257
27 -0.018333333333332646 I 1.8459915754154106
28 -0.050666666666666416 E 0.4670050852143656
30 -0.09229166666666622 F 0.44299645951561534
31 -0.0022083333333338118 J 2.0755742557767913
33 0.029458333333332476 H 1.8468432805074348
34 0.006291666666665918 A 0.507653379853273
36 0.00883333333333347 E 0.3910552706400804
37 -0.012291666666666146 C 2.116011536580727
39 0.030416666666667425 J 2.042607636495624
40 -0.04025000000000034 D 0.45828252848121864
42 -0.003375000000000128 A 0.46856669649794636
43 0.026791666666666103 I 1.931214630001157
45 0.01595833333333374 C 2.1706885131264153
46 0.011499999999999844 F 0.45429506738805164
48 -0.07450000000000045 D 0.45937838792891167
49 -0.0007500000000000284 H 1.7734326861449063
51 0.0029166666666657903 I 1.9088800525990084
52 -0.05000000000000071 E 0.4573440605144646
54 0.00020833333333314386 F 0.4806022921988147
55 0.048208333333333186 J 2.0962804538061355
57 0.0009583333333331723 H 1.7774670319068586
58 0.0045000000000001705 A 0.5503379643478468
60 -0.5963749999999948 E 0.50145002868903
61 0.6499166666666696 C 2.097001102059441
63 0.4479166666666714 J 2.0088596969910366
64 -0.0022916666666645824 D 0.5066822711558826
66 0.06645833333332973 A 0.538680607718345
67 0.11533333333333928 I 1.85115957097635
69 -0.3306249999999977 C 2.0799584300674154
70 -0.005166666666667652 F 0.48057158769204583
