adaptor_index error voice rate_parameter
0 -0.5537916666666689 J 0.4980382403443291
1 0.17116666666666447 D 2.0966238224465408
3 0.3667916666666713 I 1.8550349255004885
4 -0.9277500000000032 A 0.5238008008757894
6 0.09324999999999761 E 0.49775046522359184
7 0.8629999999999995 H 1.768393507739492
9 0.07683333333334019 D 2.0888919763777247
10 -1.1937499999999943 C 0.5162391406159614
12 -0.028833333333333044 A 0.5263599287658687
13 0.0030000000000001137 F 2.0077317167365427
15 -0.032583333333333186 H 1.7934614647954459
16 -0.06562500000000071 J 0.49706377921482786
18 -0.025916666666667254 C 0.4934990559416977
19 -0.006208333333333371 I 1.8690265831741733
21 0.0129999999999999 F 1.9565884231614041
22 -0.020791666666665876 E 0.4822561630496172
24 -0.023458333333334025 J 0.4877425021179924
25 0.0021666666666675383 D 2.118067005084467
27 -0.02412499999999973 I 1.8728556458018917
28 -0.009166666666667211 A 0.5120134546981142
30 -0.03924999999999912 E 0.48837299155855207
31 0.038583333333333414 H 1.8166068960543342
33 -0.009375000000000355 D 2.1162748962222024
34 0.015333333333332533 C 0.47883283794525183
36 -0.0021249999999994884 A 0.5858442844382783
37 0.011499999999999844 F 1.9677786423394128
39 0.0669583333333339 H 1.8463250045378674
40 -0.04558333333333309 J 0.45787673788678845
42 0.0988749999999996 C 0.5265818474554682
43 -0.0024166666666669556 I 1.8940877130321567
45 -0.07729166666666742 F 1.9075108081196093
46 -0.0002916666666674672 E 0.5400786678682785
48 0.017250000000000654 J 0.4863578724568381
49 0.026541666666666686 D 2.0662350255916326
51 0.05891666666666673 I 1.8602780522096172
52 -0.006624999999999659 A 0.5026217534390484
54 0.012041666666666728 E 0.4831785306054892
55 0.027625000000000455 H 1.7957192246913838
57 -0.014958333333332519 D 2.107898884334584
58 -0.021583333333333954 C 0.4634341205921328
60 -0.004749999999999588 A 0.46400134713775265
61 0.0066666666666659324 F 1.9498684548346603
63 0.028666666666666174 H 1.7904619573626974
64 -0.009083333333332888 J 0.4940794892955158
66 -0.06370833333333259 C 0.47757777363451204
67 -0.01008333333333411 I 1.8766772972876653
69 0.015249999999999986 F 1.9464629962287814
70 -0.01145833333333357 E 0.48221012168063265
