adaptor_index error voice rate_parameter
0 0.22787499999999916 H 0.5202891179343386
1 0.4710000000000001 J 1.6771451533376205
3 0.15387499999999932 I 1.5514908414625086
4 0.02224999999999966 E 0.596730421140973
6 0.06233333333333313 A 0.6260138157842161
7 0.08562500000000028 D 1.7275327055866496
9 0.048041666666666316 J 1.6771451533376205
10 0.7551249999999996 F 0.5685501815760301
12 0.6761250000000008 E 0.596730421140973
13 0.3299166666666675 C 1.7459004285259465
15 0.44766666666666666 D 1.7275327055866496
16 0.6228750000000005 H 0.5202891179343386
18 1.2681249999999995 F 0.5685501815760301
19 0.20862499999999962 I 1.5514908414625086
21 0.7490416666666668 C 1.7459004285259465
22 -0.1479583333333334 A 0.6260138157842161
24 0.9039166666666674 H 0.5202891179343386
25 0.07479166666666615 J 1.6771451533376205
27 0.6189583333333335 I 1.5514908414625086
28 0.41079166666666644 E 0.596730421140973
30 -0.14700000000000024 A 0.6260138157842161
31 0.21850000000000058 D 1.7275327055866496
33 0.6425000000000001 J 1.6771451533376205
34 2.0479166666666675 F 0.5685501815760301
36 0.3055833333333329 E 0.596730421140973
37 1.1744583333333338 C 1.7459004285259465
39 0.27854166666666735 D 1.7275327055866496
40 0.2602499999999992 H 0.5202891179343386
42 0.14620833333333394 F 0.5685501815760301
43 0.5677500000000002 I 1.5514908414625086
45 0.2744166666666672 C 1.7459004285259465
46 0.6155833333333334 A 0.6260138157842161
48 0.43470833333333303 H 0.5202891179343386
49 0.6660000000000004 J 1.6771451533376205
51 0.33291666666666586 I 1.5514908414625086
52 -0.30087499999999956 E 0.596730421140973
54 0.6753333333333327 A 0.6260138157842161
55 0.06529166666666697 D 1.7275327055866496
57 1.0469166666666663 J 1.6771451533376205
58 0.30150000000000077 F 0.5685501815760301
60 0.034958333333335645 E 0.596730421140973
61 3.947666666666663 C 1.7459004285259465
63 1.5792916666666628 D 1.7275327055866496
64 2.768666666666661 H 0.5202891179343386
66 1.0217916666666724 F 0.5685501815760301
67 0.5947083333333296 I 1.5514908414625086
69 0.5378749999999997 C 1.7459004285259465
70 0.14720833333333871 A 0.6260138157842161
