adaptor_index error voice rate_parameter
0 0.6200000000000045 I 1.5514908414625086
1 0.6713333333333367 D 0.6107750454209318
2 2.3712916666666644 C 1.0381186058446776
3 0.08687500000000625 J 0.5929603554795917
4 1.5670833333333292 E 1.687808509316345
5 1.836666666666673 A 1.0528255471844932
6 0.6793333333333322 H 1.4715998538757529
7 0.777000000000001 F 0.5685501815760301
8 1.058125000000004 I 0.922521973764387
9 2.7040416666666687 D 0.6107750454209318
10 1.104875000000007 C 1.7459004285259465
11 2.5531249999999943 J 0.997236474620714
12 0.13858333333333306 E 1.687808509316345
13 1.0609166666666674 A 0.6260138157842161
14 0.035375000000000156 H 0.875018508333005
15 0.6159166666666671 F 0.5685501815760301
16 0.3221249999999998 I 1.5514908414625086
17 0.2482916666666668 D 1.0271970924417724
18 0.601208333333334 C 1.7459004285259465
19 -0.21712499999999935 J 0.5929603554795917
20 0.12608333333333377 E 1.003576944020567
21 0.2525833333333338 A 0.6260138157842161
22 0.29550000000000054 H 1.4715998538757529
23 0.196041666666666 F 0.9561836191582644
24 0.30441666666666656 I 1.5514908414625086
25 0.17133333333333312 D 0.6107750454209318
26 0.018833333333333258 C 1.0381186058446776
27 -0.16929166666666617 J 0.5929603554795917
28 0.2065416666666664 E 1.687808509316345
29 0.01608333333333256 A 1.0528255471844932
30 0.40658333333333374 H 1.4715998538757529
31 -0.08362499999999962 F 0.5685501815760301
32 0.46895833333333314 I 0.922521973764387
33 0.5295000000000005 D 0.6107750454209318
34 0.32358333333333356 C 1.7459004285259465
35 0.3414999999999999 J 0.997236474620714
36 0.4833333333333325 E 1.687808509316345
37 0.6172500000000003 A 0.6260138157842161
38 0.37820833333333326 H 0.875018508333005
39 -0.02104166666666707 F 0.5685501815760301
40 0.43545833333333306 I 1.5514908414625086
41 0.583166666666667 D 1.0271970924417724
42 0.1870833333333337 C 1.7459004285259465
43 0.7073750000000008 J 0.5929603554795917
44 0.5949166666666663 E 1.003576944020567
45 0.18454166666666616 A 0.6260138157842161
46 0.3512500000000003 H 1.4715998538757529
47 0.20133333333333248 F 0.9561836191582644
48 0.27725000000000044 I 1.5514908414625086
49 0.0399166666666666 D 0.6107750454209318
50 0.3094999999999999 C 1.0381186058446776
51 0.46025000000000027 J 0.5929603554795917
52 0.7689583333333339 E 1.687808509316345
53 0.09774999999999956 A 1.0528255471844932
54 0.4804166666666667 H 1.4715998538757529
55 1.2448333333333341 F 0.5685501815760301
56 0.4012499999999992 I 0.922521973764387
57 1.3413749999999993 D 0.6107750454209318
58 0.5439583333333342 C 1.7459004285259465
59 0.4067500000000006 J 0.997236474620714
60 0.41499999999999915 E 1.687808509316345
61 -0.4192083333333336 A 0.6260138157842161
62 0.3939166666666658 H 0.875018508333005
63 -0.35316666666666663 F 0.5685501815760301
64 0.29362500000000047 I 1.5514908414625086
65 0.4405000000000001 D 1.0271970924417724
66 0.9502083333333342 C 1.7459004285259465
67 -0.11262499999999953 J 0.5929603554795917
68 0.41037500000000016 E 1.003576944020567
69 -0.1076666666666668 A 0.6260138157842161
70 1.165708333333333 H 1.4715998538757529
71 0.9184999999999999 F 0.9561836191582644
