adaptor_index error voice rate_parameter
0 0.4921249999999997 F 1.608102755349015
1 0.11779166666666718 C 0.617269016143598
3 0.5417083333333341 D 0.6107750454209318
4 0.4164999999999992 E 1.687808509316345
6 0.26191666666666613 H 1.4715998538757529
7 -0.14700000000000024 A 0.6260138157842161
9 0.4346250000000005 C 0.617269016143598
10 0.36966666666666725 I 1.5514908414625086
12 1.2261249999999997 E 1.687808509316345
13 0.08500000000000085 J 0.5929603554795917
15 0.31887500000000024 A 0.6260138157842161
16 0.4292499999999997 F 1.608102755349015
18 0.6157916666666665 I 1.5514908414625086
19 0.9158333333333335 D 0.6107750454209318
21 0.014749999999999375 J 0.5929603554795917
22 0.3200000000000003 H 1.4715998538757529
24 0.5872083333333329 F 1.608102755349015
25 0.09770833333333329 C 0.617269016143598
27 0.5328333333333326 D 0.6107750454209318
28 0.352666666666666 E 1.687808509316345
30 0.4213749999999994 H 1.4715998538757529
31 0.17812499999999964 A 0.6260138157842161
33 0.2260833333333334 C 0.617269016143598
34 0.1986666666666661 I 1.5514908414625086
36 0.5034583333333327 E 1.687808509316345
37 0.6080416666666668 J 0.5929603554795917
39 0.5118749999999999 A 0.6260138157842161
40 0.7567916666666665 F 1.608102755349015
42 0.5618333333333325 I 1.5514908414625086
43 0.20175000000000054 D 0.6107750454209318
45 -0.15304166666666674 J 0.5929603554795917
46 0.5640416666666663 H 1.4715998538757529
48 0.45808333333333273 F 1.608102755349015
49 0.8147916666666664 C 0.617269016143598
51 0.7183333333333337 D 0.6107750454209318
52 0.403083333333333 E 1.687808509316345
54 1.1016666666666666 H 1.4715998538757529
55 1.1387083333333337 A 0.6260138157842161
57 0.3376666666666672 C 0.617269016143598
58 0.19650000000000034 I 1.5514908414625086
60 0.5642083333333403 E 1.687808509316345
61 1.6678333333333342 J 0.5929603554795917
63 1.6028749999999974 A 0.6260138157842161
64 0.5793333333333379 F 1.608102755349015
66 3.8398750000000064 I 1.5514908414625086
67 1.4333333333333371 D 0.6107750454209318
69 2.257166666666663 J 0.5929603554795917
70 0.8312916666666723 H 1.4715998538757529
