adaptor_index error voice rate_parameter
0 -0.5537916666666689 J 0.4980382403443291
1 1.0963333333333338 C 2.104760214273037
3 1.1899583333333368 E 2.0358078101254415
4 0.03954166666666481 A 0.5207463920355728
6 -0.09741666666666049 F 0.47464479311575025
7 0.030791666666672768 I 1.876769500688043
9 1.1379166666666691 C 2.1054829689854855
10 -1.035583333333335 D 0.510745322863366
12 -0.028833333333333044 A 0.5263599287658687
13 0.0015000000000000568 H 1.8162837633025486
15 -0.008083333333333442 I 1.8748586455517886
16 0.0014583333333337833 J 0.49344775323351364
18 -0.01020833333333293 D 0.48991002108149534
19 0.039541666666666586 E 2.108029418552595
21 0.0374166666666671 H 1.8402533982940223
22 0.007041666666665947 F 0.4709032918925327
24 -0.01545833333333313 J 0.4845699867705746
25 0.009624999999999773 C 2.1107469004763937
27 0.02812499999999929 E 2.0488200004456414
28 -0.009291666666666032 A 0.49199473876744443
30 -0.019583333333333286 F 0.4729699795862286
31 0.018666666666666387 I 1.8885553902873382
33 0.01687500000000064 C 2.1444062539554425
34 -0.06654166666666583 D 0.4721655072289884
36 0.005666666666666487 A 0.5420964934263681
37 0.0581666666666667 H 1.806148000117029
39 0.036458333333333925 I 1.9021952087619436
40 -0.040749999999999176 J 0.4748339152574879
42 0.010458333333334124 D 0.5007546425392593
43 -0.0036249999999995453 E 2.113222342697922
45 -0.06637500000000074 H 1.7441127185311014
46 -0.01750000000000007 F 0.4402757118946102
48 0.008083333333333442 J 0.4946384114815469
49 0.04754166666666748 C 2.191390640146053
51 -0.004916666666666458 E 1.8455397406717473
52 -0.0045833333333327175 A 0.5200969884791491
54 -0.012291666666666146 F 0.3858696322530483
55 -0.0045000000000001705 I 1.880344945395383
57 -0.007708333333333428 C 2.051290086666265
58 -0.029666666666667396 D 0.497411940036254
60 -0.0009999999999994458 A 0.47488166411594224
61 -0.08066666666666755 H 1.7416034354041119
63 0.016333333333333755 I 1.9226397049660107
64 -0.045999999999999375 J 0.4647804077065894
66 0.08399999999999963 D 0.5195189600451973
67 0.04983333333333384 E 2.1389660944817503
69 0.03074999999999939 H 1.7843249294866508
70 -0.0033333333333338544 F 0.480432082433031
