adaptor_index error voice rate_parameter
0 0.4194999999999993 F 1.9290894014853077
1 -1.1679583333333312 J 0.4954774350227303
3 -0.05787499999999568 A 0.5210505565722777
4 0.6636666666666713 C 2.0972400890886074
6 0.8867083333333312 I 1.863047630347581
7 0.7361666666666622 D 0.5183519085226619
9 0.7607916666666625 J 0.5035194756154584
10 0.6366666666666703 E 2.0265133478468162
12 0.021625000000000227 C 2.134911089738497
13 0.07591666666666619 H 0.44227395359681976
15 -0.014708333333333101 D 0.5055038822991103
16 0.013583333333333059 F 2.0127353786279474
18 0.01933333333333387 E 2.05223298106448
19 0.03491666666666582 A 0.5509693632061337
21 0.029291666666667382 H 0.4192872387022379
22 0.012416666666666742 I 1.891458650240495
24 0.050375000000000725 F 2.0129255746246764
25 0.040458333333333485 J 0.46171720606747024
27 0.004666666666667041 A 0.5281283334273416
28 0.005833333333333357 C 2.1454163176069994
30 -0.012208333333333599 I 1.8680891830115618
31 -0.004916666666666458 D 0.4961471025832457
33 -0.03787499999999966 J 0.4734486323564387
34 0.02829166666666616 E 2.0820070026001125
36 0.06037500000000051 C 2.200248451810263
37 -0.034708333333332675 H 0.4173917000440211
39 -0.00991666666666724 D 0.53002222114186
40 -0.037833333333333385 F 1.9924899796853244
42 0.006208333333333371 E 2.051359985588641
43 -0.01629166666666748 A 0.5035892659402466
45 -0.08991666666666731 H 0.40308796646615885
46 0.005041666666667055 I 1.829251759301467
48 0.07308333333333294 F 1.9364184337531674
49 -0.01629166666666748 J 0.4662300153184159
51 -0.012124999999999275 A 0.5129954152285271
52 0.04124999999999979 C 2.1453136534865895
54 0.004708333333333314 I 1.9388722626338557
55 0.011374999999999247 D 0.49699878796587565
57 -0.045291666666667396 J 0.4615593515993739
58 0.0005000000000006111 E 2.0701389269194452
60 0.05170833333333391 C 2.096489814657649
61 -0.0026250000000000995 H 0.4233742569217179
63 -0.022708333333333997 D 0.4583357830958018
64 -0.031625000000000014 F 1.9162896270983791
66 0.0022500000000000853 E 2.06845130671674
67 -0.06820833333333276 A 0.47919756261225527
69 -0.015083333333333115 H 0.4562125242048577
70 -0.013125000000000497 I 1.8857793241894405
